id,도감번호,이름,설명,타입,키,분류,몸무게,특성
1,1,이상해씨,태어나서 얼마 동안 등의 씨앗에 담긴 영양을 섭취하며 자란다.,"['풀', '독']",0.7,씨앗포켓몬,6.9,['심록']
2,2,이상해풀,햇빛을 받을수록 몸에 힘이 솟아나 등의 꽃봉오리가 자라난다.,"['풀', '독']",1.0,씨앗포켓몬,13.0,['심록']
3,3,이상해꽃,내리쪼이는 태양 빛을 에너지로 변환할 수 있기 때문에 여름에 더욱 강해진다.,"['풀', '독']",2.0,씨앗포켓몬,100.0,['심록']
4,3,메가이상해꽃,큰 꽃잎을 펼쳐 햇빛을 받고 있으면 몸에 힘이 넘쳐흐른다.,"['풀', '독']",2.4,씨앗포켓몬,155.5,['두꺼운지방']
5,3,이상해꽃,거다이맥스의 모습 2개의 굵은 덩굴을 휘둘러서 싸운다. 10층 빌딩을 가볍게 넘어뜨릴 정도로 파워풀하다.,"['풀', '독']",24.0,씨앗포켓몬,,['심록']
6,4,파이리,꼬리에서 타오르는 불꽃은 생명력의 상징. 기운이 없으면 불꽃이 약해진다.,['불꽃'],0.6,도롱뇽포켓몬,8.5,['맹화']
7,5,리자드,불타는 꼬리를 휘두르면 주위의 온도가 점점 올라가 상대를 괴롭게 한다.,['불꽃'],1.1,화염포켓몬,19.0,['맹화']
8,6,리자몽,정말 화가 난 리자몽의 꼬리 끝 불꽃은 푸르스름하게 불타오른다.,"['불꽃', '비행']",1.7,화염포켓몬,90.5,['맹화']
9,6,메가리자몽X,입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.,"['불꽃', '드래곤']",1.7,화염포켓몬,110.5,['단단한발톱']
10,6,메가리자몽Y,입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.,"['불꽃', '비행']",1.7,화염포켓몬,100.5,['가뭄']
11,6,리자몽,거다이맥스의 모습 거다이맥스의 파워에 의해 불꽃의 날개를 가진 거대한 리자몽의 모습이 만들어졌다.,"['불꽃', '비행']",28.0,화염포켓몬,,['맹화']
12,7,꼬부기,태어난 뒤 등이 부풀면서 단단한 등껍질이 생긴다. 입에서 강력한 거품을 발사한다.,['물'],0.5,꼬마거북포켓몬,9.0,['급류']
13,8,어니부기,길고 탐스러운 꼬리는 장수의 상징이다. 노인층에게 특히 인기가 많다.,['물'],1.0,거북포켓몬,22.5,['급류']
14,9,거북왕,분사한 물의 기세에 밀리지 않도록 일부러 체중을 무겁게 불리고 있다.,['물'],1.6,껍질포켓몬,85.5,['급류']
15,9,메가거북왕,무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.,['물'],1.6,껍질포켓몬,101.1,['메가런처']
16,9,거북왕,거다이맥스의 모습 정밀하게 사격하지는 못한다. 31개의 대포에서 포탄을 연달아 쏘아대는 스타일로 공격한다.,['물'],25.0,껍질포켓몬,,['급류']
17,10,캐터피,빨간 더듬이로부터 냄새를 내어 상대를 쫓아 버린다. 탈피를 반복하여 자라난다.,['벌레'],0.3,애벌레포켓몬,2.9,['인분']
18,11,단데기,강철같이 단단한 껍질로 부드러운 몸을 보호하고 있다. 진화할 때까지 가만히 참고 있다.,['벌레'],0.7,번데기포켓몬,9.9,['탈피']
19,12,버터플,꽃의 꿀을 매우 좋아한다. 약간의 꽃가루만으로 꽃밭이 있는 장소를 찾아낼 수 있다.,"['벌레', '비행']",1.1,나비포켓몬,32.0,['복안']
20,12,버터플,거다이맥스의 모습 거다이맥스의 파워가 결정이 되어 눈부시게 빛나는 맹독성의 인분을 갖게 되었다.,"['벌레', '비행']",17.0,나비포켓몬,,['복안']
21,13,뿔충이,매일 자신과 똑같은 무게의 잎사귀를 먹는다. 머리의 침으로 달려드는 상대를 물리친다.,"['벌레', '독']",0.3,송충이포켓몬,3.2,['인분']
22,14,딱충이,천적에게 발견되지 않도록 잎사귀 뒷면이나 가지의 틈새에 숨어서 진화할 때를 기다린다.,"['벌레', '독']",0.6,번데기포켓몬,10.0,['탈피']
23,15,독침붕,고속으로 날아다니며 독침으로 공격한 뒤 바로 날아가 버리는 전법이 특기다.,"['벌레', '독']",1.0,독벌포켓몬,29.5,['벌레의알림']
24,15,메가독침붕,양손과 엉덩이에 있는 3개의 독침으로 상대를 찌르고 찌르고 또 찌르며 공격한다.,"['벌레', '독']",1.4,독벌포켓몬,40.5,['적응력']
25,16,구구,싸움을 좋아하지 않는 얌전한 성격이지만 어설프게 건드리면 강력한 반격을 당하게 된다.,"['노말', '비행']",0.3,아기새포켓몬,1.8,"['날카로운눈', '갈지자걸음']"
26,17,피죤,넓은 영역을 날아다니며 먹이를 찾는다. 발달한 발톱으로 먹이를 꼼짝 못 하게 한다.,"['노말', '비행']",1.1,새포켓몬,30.0,"['날카로운눈', '갈지자걸음']"
27,18,피죤투,피죤투의 힘찬 날갯짓은 큰 나무도 휠 정도의 강풍을 일으킨다.,"['노말', '비행']",1.5,새포켓몬,39.5,"['날카로운눈', '갈지자걸음']"
28,18,메가피죤투,먹이를 찾을 때 수면을 아슬아슬하게 미끄러지듯 날아 잉어킹 등을 움켜잡는다.,"['노말', '비행']",2.2,새포켓몬,50.5,['노가드']
